"Timestamp","Name","Twice-Cooked Chips","Thrice-Cooked Chips","Fries (Straight)","Fries (Curly)","Roast Potatoes (Big)","Roast Potatoes (Small)","New Potatoes","Old Potatoes","Dauphinoise Potatoes","Baked Potatoes","Mashed Potatoes","Fondant Potatoes","Gnocchi","Crisps (Ready Salted)","Crisps (Salt and Vinegar)","Crisps (Cheese and Onion)","Crisps (Prawn Cocktail)","Crisps (BBQ)","Crisps (Paprika)","Crisps (Roast Chicken)","Waffles","Potato Wedges","Potato Smiles","Potato Alphabet","Potato Fritters","Hash Browns","Hasselback Potatoes","Potato Rosti","Potato Soup","Potato Croquettes","Potato Cakes","Kartoffelkloesse","Patatas Bravas","Raw Potato"
"2024/08/19 2:18:42 PM GMT+1","Ian","8","9","10","7","4","9","3","1","7","4","3","1","10","10","10","10","10","8","10","10","9","8","4","1","10","10","8","7","5","10","8","5","10","1"
"2024/08/19 2:20:49 PM GMT+1","Meg ","5","7","7","8","6","10","6","1","8","4","5","8","7","2","1","3","4","3","4","4","4","4","3","3","4","7","7","7","1","5","2","2","6","1"
"2024/08/19 2:23:34 PM GMT+1","Captain Bidseye ","5","8","1","1","4","10","8","1","7","9","4","5","5","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","3","1"
"2024/08/19 10:33:54 PM GMT+1","Zay","8","5","4","6","6","9","5","1","7","8","8","5","4","5","1","4","10","9","9","8","7","7","6","6","4","5","7","3","1","1","7","4","8","1"
"2024/08/19 11:07:21 PM GMT+1","Tomenai","8","9","7","7","7","8","5","3","4","6","4","7","5","7","10","8","7","8","8","9","6","5","7","8","8","10","8","8","3","5","5","5","6","2"
"2024/08/20 10:21:14 PM GMT+1","Patrick Harland ","7","9","10","8","4","8","3","2","7","1","9","8","6","8","8","1","5","6","6","4","8","7","6","4","6","8","7","5","1","10","10","7","7","1"
"2024/08/21 12:35:21 PM GMT+1","Lewis Blannin","8","9","9","8","9","8","6","4","4","7","7","8","8","8","1","1","1","10","9","7","5","6","8","7","7","8","6","6","2","6","4","6","8","1"
"2024/08/22 9:04:58 PM GMT+1","Alex","8","8","6","7","9","8","6","3","6","7","7","6","6","5","8","7","7","7","6","7","7","8","7","7","8","8","8","8","10","8","7","7","8","5"
"2024/08/23 2:46:10 PM GMT+1","Yuchen ","5","5","6","8","3","4","3","5","6","5","8","4","5","6","4","4","1","5","6","6","8","6","5","5","4","8","7","4","5","3","5","4","6","1"
"2024/09/04 1:08:13 PM GMT+1","mark attree","7","7","7","6","7","9","9","5","9","6","10","3","7","5","5","5","9","5","5","1","5","6","1","7","7","9","7","8","5","5","4","7","7","7"
"2024/09/04 1:35:22 PM GMT+1","Anton","8","10","9","7","6","7","5","3","9","6","6","7","8","6","8","7","4","5","9","5","6","6","10","8","6","8","8","9","3","9","7","6","8","1"
"2024/09/04 1:59:16 PM GMT+1","Chip McFry","7","9","9","5","7","9","5","1","4","8","7","9","6","5","6","7","7","8","9","9","5","6","3","2","4","7","6","4","2","4","2","4","2","10"
"2024/09/04 2:01:31 PM GMT+1","Neve","7","9","6","7","9","10","7","3","2","1","2","2","1","2","6","10","9","4","8","1","5","6","4","2","4","8","2","4","3","7","1","1","8","1"
"2024/09/04 2:04:12 PM GMT+1","James","7","9","7","8","7","10","1","1","8","5","7","7","7","4","7","8","8","2","1","7","5","6","6","5","4","10","9","7","1","8","7","4","6","1"
"2024/09/04 2:06:36 PM GMT+1","Bry","5","8","7","9","6","6","3","1","8","2","10","8","7","8","6","3","5","2","5","1","6","6","4","1","2","8","6","4","1","10","10","3","5","1"
"2024/09/04 2:17:54 PM GMT+1","Phoebe (this may be controversial as i am not huge potato person)","2","4","7","8","4","8","1","1","4","1","2","6","8","8","10","7","6","5","6","1","1","2","1","1","9","9","5","8","2","8","5","9","10","1"
"2024/09/04 2:25:23 PM GMT+1","Lewis ward","7","9","9","9","10","10","1","5","7","3","10","5","7","4","7","9","10","8","9","9","7","9","7","5","5","8","5","5","5","5","5","5","7","1"
"2024/09/04 3:39:07 PM GMT+1","Ella","7","6","8","9","10","9","5","1","1","8","7","1","6","5","6","3","1","4","4","1","3","7","8","7","6","8","5","5","1","6","1","1","8","1"
"2024/09/04 3:42:23 PM GMT+1","Sam Hinton","6","7","6","8","9","9","7","4","6","6","6","5","1","5","6","5","6","4","6","3","6","6","5","5","6","7","9","7","4","6","6","3","6","1"
"2024/09/04 3:43:15 PM GMT+1","Emily","7","10","9","10","10","9","2","1","5","7","8","7","10","5","1","3","2","1","2","1","8","9","6","7","9","9","8","10","5","8","7","6","10","1"
"2024/09/04 3:47:36 PM GMT+1","Rachel Jobson","7","9","6","8","9","10","8","2","8","7","7","8","8","7","8","4","6","1","1","1","5","6","4","4","8","10","8","10","1","5","7","3","8","1"
"2024/09/04 3:51:55 PM GMT+1","Herbert Mcringle","5","7","9","8","5","8","7","5","10","7","8","8","8","5","1","10","1","5","5","5","7","2","2","2","6","7","8","8","6","8","8","5","8","10"
"2024/09/04 3:53:47 PM GMT+1","Bob Mead","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"2024/09/04 4:02:39 PM GMT+1","Joe (doing it seriously this time) ","8","8","3","1","8","8","7","1","6","7","1","2","5","2","1","7","1","1","1","1","1","5","1","1","1","1","2","2","1","3","1","1","5","10"
"2024/09/04 4:06:00 PM GMT+1","JWo","6","5","7","8","9","9","5","8","7","7","9","9","5","7","5","8","8","8","9","8","7","9","9","8","9","10","7","8","8","8","5","6","5","4"
"2024/09/04 4:17:28 PM GMT+1","Simon Pud","6","7","6","8","3","6","6","2","10","5","7","6","6","7","6","5","4","3","6","2","7","5","7","2","6","6","5","6","2","7","7","5","7","1"
"2024/09/04 4:18:19 PM GMT+1","Sean Herd-Hoare","6","6","7","8","6","9","6","5","1","7","6","5","8","8","7","10","8","8","8","6","5","7","5","5","5","6","8","8","6","7","5","5","5","1"
"2024/09/04 4:19:03 PM GMT+1","Conall","6","7","5","7","9","8","8","1","10","9","7","8","8","6","5","5","4","1","5","1","8","6","7","1","5","7","7","8","5","8","6","7","5","1"
"2024/09/04 4:19:09 PM GMT+1","Angie Hill","10","1","8","1","10","1","8","1","8","10","10","10","1","2","1","1","1","1","2","1","1","1","1","1","1","1","6","1","1","1","1","1","1","1"
"2024/09/04 4:19:54 PM GMT+1","Liam Brown","5","5","5","8","3","3","3","3","7","3","4","3","10","5","5","3","1","4","7","4","6","9","5","5","7","9","6","6","1","6","4","7","7","1"
"2024/09/04 4:21:10 PM GMT+1","Curt Williams","5","6","7","6","5","8","6","2","7","5","9","5","8","5","6","6","4","5","4","6","8","7","7","6","7","9","7","8","3","9","6","2","9","1"
"2024/09/04 4:21:45 PM GMT+1","Eleri ","4","4","5","5","3","6","2","1","8","7","9","9","9","9","8","7","9","5","10","4","6","4","6","6","5","10","4","8","2","9","8","6","3","10"
"2024/09/04 4:23:26 PM GMT+1","Mr Potato from Toy Story","7","8","5","6","6","4","8","1","7","7","8","5","10","4","5","2","6","5","5","1","4","8","2","1","2","9","7","5","2","6","4","6","8","1"
"2024/09/04 4:24:12 PM GMT+1","Amy","5","3","8","10","7","4","1","1","2","3","2","2","10","6","10","1","10","6","8","1","9","2","5","5","7","10","4","3","1","6","7","5","8","1"
"2024/09/04 4:25:22 PM GMT+1","Rosie","7","6","10","8","9","10","5","2","10","6","8","2","7","3","10","1","10","5","5","5","3","4","7","1","5","10","8","10","4","8","9","4","10","1"
"2024/09/04 4:29:01 PM GMT+1","Napanari","6","6","5","10","8","9","8","5","3","6","9","7","1","1","7","10","10","2","3","8","7","10","9","6","5","7","9","5","6","3","3","2","7","1"
"2024/09/04 4:29:19 PM GMT+1","daisy","8","9","7","9","9","10","6","1","7","6","7","8","6","6","1","7","4","6","6","7","7","6","7","4","8","9","7","10","6","8","5","5","10","2"
"2024/09/04 4:32:16 PM GMT+1","Emma G","5","8","6","10","7","1","2","1","7","7","8","2","5","5","8","2","9","8","8","2","7","4","10","7","7","10","4","4","1","10","4","1","8","1"
"2024/09/04 4:34:05 PM GMT+1","Rob","7","9","7","8","5","8","4","1","10","8","6","9","7","5","5","5","6","4","3","7","5","3","5","1","1","10","5","7","1","1","5","5","7","1"
"2024/09/04 4:35:39 PM GMT+1","Nikos","10","10","10","10","6","8","7","4","10","7","10","10","6","10","1","10","1","5","8","7","7","8","10","8","8","9","8","10","4","10","10","7","6","10"
"2024/09/04 4:45:19 PM GMT+1","Priya","7","4","9","9","8","10","5","1","7","8","8","5","1","10","10","10","10","5","8","5","10","5","10","10","5","8","5","10","1","8","8","2","2","1"
"2024/09/04 4:46:47 PM GMT+1","Matt Barker","9","10","7","8","7","8","5","1","7","6","7","5","8","6","8","7","7","6","6","4","6","8","6","6","6","9","5","5","3","7","3","3","8","1"
"2024/09/04 4:51:11 PM GMT+1","Roxanimal","10","8","8","7","6","6","4","2","7","4","9","9","1","8","8","7","8","6","6","3","10","9","1","1","8","10","9","10","2","2","7","1","10","2"
"2024/09/04 4:57:31 PM GMT+1","Henry","7","9","8","4","8","8","4","1","8","8","7","1","8","5","9","6","3","4","3","3","6","6","7","2","2","8","9","3","1","7","2","1","9","1"
"2024/09/04 7:06:31 PM GMT+1","S woodland ","7","8","7","6","7","8","6","1","7","7","6","7","6","3","8","3","10","8","6","6","7","6","6","7","7","8","7","8","1","8","3","4","5","1"
"2024/09/04 7:22:19 PM GMT+1","Clare Mugridge","5","8","7","4","1","10","1","1","9","10","4","5","8","6","8","9","10","8","7","2","10","3","10","1","9","10","8","7","1","10","6","3","1","1"
"2024/09/04 7:23:57 PM GMT+1","Mr Potato head ( I see you) ","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10"
"2024/09/04 8:12:52 PM GMT+1","Rick ","8","10","4","3","8","9","7","7","8","7","7","7","5","6","1","5","2","2","3","3","2","5","1","1","1","7","8","8","3","5","3","1","7","1"
"2024/09/04 8:27:12 PM GMT+1","Matt Stoodley ","6","8","7","8","8","10","3","1","8","5","6","7","7","6","5","7","6","7","7","6","8","7","8","6","6","9","5","7","4","8","7","7","7","1"
